Date,Temperature,Soil_Moisture,Humidity,Wind_Speed,Rainfall
2026-02-01,13.7,454.02,90,4.79,3.8
2026-02-02,13.8,380.07,85,6.33,0.4
2026-02-03,13.9,380.22,94,8.1,5.1
2026-02-04,14.0,380.05,87,5.38,1.3
2026-02-05,14.1,380.12,92,10.82,9.6
2026-02-06,14.1,434.19,93,5.81,11.8
2026-02-07,14.2,379.8,89,2.93,2.2
2026-02-08,14.3,443.64,91,1.17,1.3
2026-02-09,14.4,430.59,95,5.64,0.8
2026-02-10,14.5,380.07,97,5.26,5.6
2026-02-11,14.5,379.95,90,2.82,5.2
2026-02-12,14.6,380.07,92,3.67,17.4
2026-02-13,14.7,399.99,71,9.59,12.8
2026-02-14,14.8,437.65,72,3.07,6.9
2026-02-15,14.9,379.82,80,7.44,2.3
2026-02-16,15.0,379.73,87,7.95,0.8
2026-02-17,15.0,379.85,70,3.71,0.0
2026-02-18,15.1,439.45,92,7.78,12.4
2026-02-19,15.2,379.98,79,2.38,0.5
2026-02-20,15.3,379.81,89,7.6,4.9
2026-02-21,15.4,380.19,87,5.77,7.7
2026-02-22,15.5,443.3,73,7.63,1.1
2026-02-23,15.5,380.17,87,4.97,1.2
2026-02-24,15.6,420.71,75,5.65,0.2
2026-02-25,15.7,379.87,90,5.49,14.9
2026-02-26,15.7,380.28,87,8.97,4.0
2026-02-27,15.9,380.01,77,3.67,0.6
2026-02-28,16.0,419.46,71,3.83,0.1
2026-03-01,16.0,379.96,82,8.46,3.7
2026-03-02,16.1,379.87,69,6.12,3.1
