Date,Soil_Moisture
2024-01-02,0.2821
2024-01-05,0.3919
2024-01-07,0.3497
2024-01-08,0.3383
2024-01-10,0.3136
2024-01-13,0.3189
2024-01-15,0.3513
2024-01-16,0.3575
2024-01-18,0.3996
2024-01-21,0.3692
2024-01-23,0.3435
2024-01-24,0.348
2024-01-26,0.3474
2024-01-29,0.3214
2024-01-31,0.3145
2024-02-01,0.323
2024-02-03,0.3069
2024-02-06,0.2924
2024-02-08,0.2817
2024-02-09,0.3699
2024-02-11,0.3456
2024-02-14,0.3546
2024-02-16,0.3592
2024-02-17,0.3751
2024-02-19,0.3328
2024-02-22,0.3003
2024-02-24,0.3509
2024-02-25,0.3577
2024-02-27,0.3547
2024-03-01,0.3117
2024-03-03,0.3401
2024-03-04,0.3158
2024-03-06,0.337
2024-03-09,0.4094
2024-03-11,0.3672
2024-03-12,0.3649
2024-03-14,0.3073
2024-03-17,0.3127
2024-03-19,0.2966
2024-03-20,0.2809
2024-03-22,0.2706
2024-03-25,0.2606
2024-03-27,0.3112
2024-03-28,0.3467
2024-03-30,0.3567
2024-04-02,0.3225
2024-04-04,0.3343
2024-04-05,0.2913
2024-04-07,0.3402
2024-04-10,0.2825
2024-04-12,0.2524
2024-04-13,0.2404
2024-04-15,0.2231
2024-04-18,0.181
2024-04-20,0.1764
2024-04-21,0.1892
2024-04-23,0.1749
2024-04-26,0.1231
2024-04-28,0.1661
2024-04-29,0.1596
2024-05-01,0.1956
2024-05-04,0.1576
2024-05-06,0.1848
2024-05-07,0.158
2024-05-09,0.1318
2024-05-12,0.1181
2024-05-14,0.1091
2024-05-15,0.1013
2024-05-17,0.1348
2024-05-20,0.0984
2024-05-22,0.0935
2024-05-23,0.092
2024-05-25,0.0966
2024-05-28,0.0793
2024-05-30,0.091
2024-05-31,0.0866
2024-06-02,0.0941
2024-06-05,0.085
2024-06-07,0.0844
2024-06-08,0.1765
2024-06-10,0.1387
2024-06-13,0.117
2024-06-15,0.0944
2024-06-16,0.0809
2024-06-18,0.284
2024-06-21,0.1968
2024-06-23,0.153
2024-06-24,0.1285
2024-06-26,0.1163
2024-06-29,0.2316
2024-07-02,0.1384
2024-07-04,0.1195
2024-07-07,0.0945
2024-07-09,0.0824
2024-07-10,0.0695
2024-07-12,0.081
2024-07-15,0.0914
2024-07-17,0.0761
2024-07-18,0.0764
2024-07-20,0.0827
2024-07-23,0.0812
2024-07-25,0.095
2024-07-26,0.079
2024-07-28,0.0923
2024-07-31,0.1071
2024-08-02,0.0924
2024-08-03,0.0771
2024-08-05,0.0852
2024-08-08,0.0831
2024-08-11,0.0895
2024-08-13,0.083
2024-08-16,0.0789
2024-08-18,0.0835
2024-08-19,0.0817
2024-08-21,0.0788
2024-08-24,0.0759
2024-08-26,0.0808
2024-08-27,0.0855
2024-08-29,0.0819
2024-09-01,0.0781
2024-09-03,0.0763
2024-09-04,0.0723
2024-09-06,0.0809
2024-09-09,0.0671
2024-09-11,0.077
2024-09-12,0.0685
2024-09-14,0.0858
2024-09-17,0.0903
2024-09-19,0.0881
2024-09-20,0.109
2024-09-22,0.0986
2024-09-25,0.2164
2024-09-27,0.2268
2024-09-28,0.1842
2024-09-30,0.1563
2024-10-03,0.15
2024-10-05,0.1226
2024-10-06,0.1239
2024-10-08,0.2514
2024-10-11,0.2693
2024-10-13,0.3276
2024-10-14,0.3116
2024-10-16,0.3708
2024-10-19,0.3033
2024-10-21,0.2894
2024-10-22,0.2844
2024-10-24,0.265
2024-10-27,0.2686
2024-10-30,0.2533
2024-11-01,0.3466
2024-11-04,0.285
2024-11-06,0.3099
2024-11-07,0.293
2024-11-09,0.2787
2024-11-12,0.2761
2024-11-14,0.2484
2024-11-15,0.2481
2024-11-17,0.3242
2024-11-20,0.2939
2024-11-22,0.2868
2024-11-23,0.2953
2024-11-25,0.3869
2024-11-28,0.3063
2024-11-30,0.2815
2024-12-01,0.2822
2024-12-03,0.2901
2024-12-06,0.2622
2024-12-08,0.2752
2024-12-09,0.2659
2024-12-11,0.2591
2024-12-14,0.2405
2024-12-16,0.2339
2024-12-17,0.2353
2024-12-19,0.3015
2024-12-22,0.2651
2024-12-24,0.2515
2024-12-25,0.2413
2024-12-27,0.2428
2024-12-30,0.2366
2025-01-01,0.2312
2025-01-02,0.2231
2025-01-04,0.2108
2025-01-07,0.2914
2025-01-09,0.3005
2025-01-10,0.2883
2025-01-12,0.3222
2025-01-15,0.2954
2025-01-17,0.2735
2025-01-18,0.2731
2025-01-20,0.3128
2025-01-23,0.3978
2025-01-25,0.4056
2025-01-26,0.361
2025-01-28,0.4388
2025-01-31,0.3868
2025-02-02,0.3466
2025-02-03,0.356
2025-02-05,0.3251
2025-02-08,0.3629
2025-02-10,0.3309
2025-02-11,0.3342
2025-02-13,0.3498
2025-02-16,0.3257
2025-02-18,0.3023
2025-02-19,0.3073
2025-02-21,0.3048
2025-02-24,0.3421
2025-02-26,0.3293
2025-02-27,0.3177
2025-03-01,0.3138
2025-03-04,0.3356
2025-03-06,0.3729
2025-03-07,0.3762
2025-03-09,0.4107
2025-03-12,0.3963
2025-03-14,0.3957
2025-03-15,0.3827
2025-03-17,0.384
2025-03-20,0.4072
2025-03-22,0.4362
2025-03-23,0.4044
2025-03-25,0.3812
2025-03-28,0.3178
2025-03-30,0.3113
2025-03-31,0.2753
2025-04-02,0.2528
2025-04-05,0.3248
2025-04-07,0.316
2025-04-08,0.3165
2025-04-10,0.2746
2025-04-13,0.3138
2025-04-15,0.34
2025-04-16,0.307
2025-04-18,0.3009
2025-04-21,0.3077
2025-04-23,0.2966
2025-04-24,0.2663
2025-04-26,0.2514
2025-04-29,0.1975
2025-05-01,0.2745
2025-05-02,0.2484
2025-05-04,0.3231
2025-05-07,0.2599
2025-05-09,0.237
2025-05-10,0.2182
2025-05-12,0.2146
2025-05-15,0.1963
2025-05-17,0.1803
2025-05-18,0.1703
2025-05-20,0.1529
2025-05-23,0.131
2025-05-25,0.1235
2025-05-26,0.1115
2025-05-28,0.1022
2025-05-31,0.1025
2025-06-02,0.1045
2025-06-03,0.0895
2025-06-05,0.0819
2025-06-08,0.0763
2025-06-10,0.0906
2025-06-11,0.0851
2025-06-13,0.0815
2025-06-16,0.0792
2025-06-18,0.0905
2025-06-19,0.0912
2025-06-21,0.0909
2025-06-24,0.1166
2025-06-26,0.1153
2025-06-27,0.0975
2025-06-29,0.1024
2025-07-02,0.1022
2025-07-04,0.0923
2025-07-05,0.0801
2025-07-07,0.0875
2025-07-10,0.0815
2025-07-12,0.079
2025-07-13,0.0744
2025-07-15,0.0765
2025-07-18,0.0765
2025-07-20,0.0711
2025-07-21,0.0663
2025-07-23,0.0758
2025-07-26,0.0755
2025-07-28,0.0837
2025-07-29,0.0793
2025-07-31,0.0892
2025-08-03,0.0881
2025-08-05,0.0944
2025-08-06,0.0933
2025-08-08,0.091
2025-08-11,0.0952
2025-08-14,0.0993
2025-08-16,0.0997
2025-08-19,0.0806
2025-08-21,0.0729
2025-08-22,0.0707
2025-08-24,0.0885
2025-08-27,0.0814
2025-08-29,0.0726
2025-08-30,0.0711
2025-09-01,0.0699
2025-09-04,0.072
2025-09-06,0.0815
2025-09-07,0.1885
2025-09-09,0.1359
2025-09-12,0.1001
2025-09-14,0.0915
2025-09-15,0.086
2025-09-17,0.0947
2025-09-20,0.0977
2025-09-22,0.0889
2025-09-23,0.0743
2025-09-25,0.087
2025-09-28,0.3585
2025-09-30,0.1931
2025-10-01,0.1703
2025-10-03,0.1555
2025-10-06,0.131
2025-10-08,0.1166
2025-10-09,0.101
2025-10-11,0.1083
2025-10-14,0.1052
2025-10-16,0.1029
2025-10-17,0.1039
2025-10-19,0.1009
2025-10-22,0.2173
2025-10-24,0.2074
2025-10-25,0.1987
2025-10-27,0.223
2025-10-30,0.2667
2025-11-01,0.3414
2025-11-02,0.2866
2025-11-04,0.236
2025-11-07,0.3005
2025-11-09,0.2994
2025-11-10,0.2792
2025-11-12,0.255
2025-11-15,0.3778
2025-11-17,0.3603
2025-11-18,0.3455
2025-11-20,0.3213
2025-11-23,0.2814
2025-11-25,0.345
2025-11-26,0.3183
2025-11-28,0.3101
2025-12-01,0.3127
2025-12-03,0.3547
2025-12-04,0.3505
2025-12-06,0.3115
2025-12-09,0.3142
2025-12-11,0.3447
2025-12-12,0.4155
2025-12-14,0.349
2025-12-17,0.3652
2025-12-19,0.4194
2025-12-20,0.4021
2025-12-22,0.3875
2025-12-25,0.3673
2025-12-27,0.3327
2025-12-28,0.3506
2025-12-30,0.349
