Time,Temperature,Light,Soil_Moisture
2026-03-03 22:45:54,20.0,0.0,8.0
2026-03-03 22:45:56,20.0,0.0,10.0
2026-03-03 22:46:01,20.0,0.0,13.0
2026-03-03 22:46:06,20.0,0.0,9.0
2026-03-03 22:46:12,20.0,0.0,18.0
2026-03-03 22:46:17,20.0,0.0,6.0
2026-03-03 22:46:22,20.0,0.0,7.0
2026-03-03 22:46:28,20.0,0.0,16.0
2026-03-03 22:46:33,20.0,0.0,12.0
2026-03-03 22:46:38,20.0,0.0,7.0
2026-03-03 22:46:44,20.0,0.0,12.0
2026-03-03 22:46:49,20.0,0.0,9.0
2026-03-03 22:46:54,20.0,0.0,6.0
2026-03-03 22:47:00,20.0,0.0,32.0
2026-03-03 22:47:05,20.0,0.0,5.0
2026-03-03 22:47:10,20.0,0.0,7.0
2026-03-03 22:47:16,20.0,0.0,6.0
2026-03-03 22:47:21,20.0,0.0,34.0
2026-03-03 22:47:26,20.0,0.0,10.0
2026-03-03 22:47:32,20.0,0.0,16.0
2026-03-03 22:47:37,20.0,0.0,2.0
2026-03-03 22:47:42,20.0,0.0,7.0
2026-03-03 22:47:48,20.0,0.0,29.0
2026-03-03 22:47:53,20.0,0.0,12.0
2026-03-03 22:47:58,20.0,0.0,18.0
2026-03-03 22:48:04,20.0,0.0,4.0
2026-03-03 22:48:09,20.0,0.0,27.0
2026-03-03 22:48:14,20.0,0.0,9.0
2026-03-03 22:48:20,20.0,0.0,13.0
2026-03-03 22:48:25,20.0,0.0,8.0
2026-03-03 22:48:30,20.0,0.0,7.0
2026-03-03 22:48:36,20.0,0.0,18.0
2026-03-03 22:48:41,20.0,0.0,10.0
2026-03-03 22:48:46,20.0,0.0,9.0
2026-03-03 22:48:52,20.0,0.0,7.0
2026-03-03 22:48:57,20.0,0.0,6.0
2026-03-03 22:49:02,20.0,0.0,32.0
2026-03-03 22:49:08,20.0,0.0,6.0
2026-03-03 22:49:13,20.0,0.0,7.0
2026-03-03 22:49:18,20.0,0.0,11.0
2026-03-03 22:49:24,20.0,0.0,25.0
2026-03-03 22:49:29,20.0,0.0,15.0
2026-03-03 22:49:34,20.0,0.0,10.0
2026-03-03 22:49:40,20.0,0.0,12.0
2026-03-03 22:49:45,20.0,0.0,11.0
2026-03-03 22:49:50,20.0,0.0,11.0
2026-03-03 22:49:56,20.0,0.0,9.0
2026-03-03 22:50:01,20.0,0.0,13.0
2026-03-03 22:50:06,20.0,0.0,10.0
2026-03-03 22:50:12,20.0,0.0,12.0
2026-03-03 22:50:17,20.0,0.0,11.0
2026-03-03 22:50:22,20.0,0.0,10.0
2026-03-03 22:50:28,20.0,0.0,32.0
2026-03-03 22:50:33,20.0,0.0,13.0
2026-03-03 22:50:38,20.0,0.0,6.0
2026-03-03 22:50:44,20.0,0.0,4.0
2026-03-03 22:50:49,20.0,0.0,8.0
2026-03-03 22:50:54,20.0,0.0,0.0
2026-03-03 22:51:00,20.0,0.0,8.0
2026-03-03 22:51:05,20.0,0.0,13.0
2026-03-03 22:51:10,20.0,0.0,32.0
2026-03-03 22:51:16,20.0,0.0,8.0
2026-03-03 22:51:21,20.0,0.0,7.0
2026-03-03 22:51:26,20.0,0.0,8.0
2026-03-03 22:51:32,20.0,0.0,36.0
2026-03-03 22:51:37,20.0,0.0,6.0
2026-03-03 22:51:42,20.0,0.0,9.0
2026-03-03 22:51:48,20.0,0.0,9.0
2026-03-03 22:51:53,20.0,0.0,12.0
2026-03-03 22:51:58,20.0,0.0,9.0
2026-03-03 22:52:04,20.0,0.0,6.0
2026-03-03 22:52:09,20.0,0.0,11.0
2026-03-03 22:52:14,20.0,0.0,18.0
2026-03-03 22:52:20,20.0,0.0,11.0
2026-03-03 22:52:25,20.0,0.0,12.0
2026-03-03 22:52:30,20.0,0.0,9.0
2026-03-03 22:52:36,20.0,0.0,2.0
2026-03-03 22:52:41,20.0,0.0,32.0
2026-03-03 22:52:46,20.0,0.0,8.0
2026-03-03 22:52:52,20.0,0.0,19.0
2026-03-03 22:52:57,20.0,0.0,9.0
2026-03-03 22:53:02,20.0,0.0,11.0
2026-03-03 22:53:08,20.0,0.0,9.0
2026-03-03 22:53:13,20.0,0.0,8.0
2026-03-03 22:53:18,20.0,0.0,9.0
2026-03-03 22:53:24,20.0,0.0,36.0
2026-03-03 22:53:29,20.0,0.0,5.0
2026-03-03 22:53:34,20.0,0.0,31.0
2026-03-03 22:53:40,20.0,0.0,5.0
2026-03-03 22:53:45,20.0,0.0,4.0
2026-03-03 22:53:50,20.0,0.0,13.0
2026-03-03 22:53:56,20.0,0.0,7.0
2026-03-03 22:54:01,20.0,0.0,12.0
2026-03-03 22:54:06,20.0,0.0,7.0
2026-03-03 22:54:12,20.0,0.0,36.0
2026-03-03 22:54:17,20.0,0.0,9.0
2026-03-03 22:54:22,21.0,0.0,5.0
2026-03-03 22:54:28,20.0,0.0,16.0
2026-03-03 22:54:33,20.0,0.0,10.0
2026-03-03 22:54:38,20.0,0.0,6.0
2026-03-03 22:54:44,20.0,0.0,9.0
